author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
MR Group;developer;https://www.cian.ru/sale/flat/292125772/;Москва;sale;flat;20;37;1;39.6;29053268;2027;-1;Монолитный;-1;Без отделки;-1;-1;+74951379040;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/298048143/;Москва;sale;flat;17;29;1;33.5;20000000;2023;-1;-1;-1;-1;-1;10 м²;+79859670981;Хорошево-Мневники;Шелепихинская набережная;40к3;Хорошёвская;
MR Group;developer;https://www.cian.ru/sale/flat/271758050/;Москва;sale;flat;4;41;1;38.59;23715078;2024;-1;Монолитно-кирпичный;-1;Предчистовая, чистовая;24,4 м²;-1;+74951387081;Раменки;1-й Сетуньский проезд;вл10;Лужники;Hide
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/298785326/;Москва;sale;flat;7;9;1;35.3;37500000;2019;-1;-1;-1;-1;17,6 м²;9,5 м²;+79153499386;Пресненский;Мантулинская ;9к2;Деловой центр;City Park
Sminex;developer;https://www.cian.ru/sale/flat/297972137/;Москва;sale;flat;2;5;1;54.7;124590000;2024;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;15,5 м²;20,8 м²;+74951347302;Тверской;;;Площадь Революции;Ильинка 3/8 ЖК
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/298045968/;Москва;sale;flat;13;43;1;32.3;20200000;2023;-1;-1;-1;-1;15,1 м²;8,2 м²;+79859670981;Хорошево-Мневники;Шелепихинская набережная;40к1;Шелепиха;Sydney City
Sminex;developer;https://www.cian.ru/sale/flat/293713671/;Москва;sale;flat;2;14;1;72.6;133260000;2024;-1;Монолитный;-1;Без отделки;14,2 м²;31 м²;+74951375467;Якиманка;;;Полянка;Лаврушинский ЖК
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/299521516/;Москва;sale;flat;5;5;1;30.0;10800000;1958;-1;-1;-1;-1;18 м²;6 м²;+79850734782;Хорошевский; Куусинена;6К5;Полежаевская;
Regions Development;developer;https://www.cian.ru/sale/flat/299622170/;Москва;sale;flat;4;6;1;42.4;24066777;2023;-1;Монолитный;-1;Без отделки;-1;-1;+74951379034;Нагатинский затон;проспект Андропова;9/1к3;Технопарк;Dream Towers
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/296739976/;Москва;sale;flat;18;41;1;65.7;28000000;2021;-1;-1;-1;Без отделки;28,5 м²;15,7 м²;+79859670981;Хорошево-Мневники;Шелепихинская набережная;34к3;Шелепиха;Сердце Столицы
ID 111759195;developer;https://www.cian.ru/sale/flat/296871941/;Москва;sale;flat;2;30;1;31.3;11568480;2027;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;-1;-1;+74951346258;Рязанский;Рязанский проспект;;Окская;balance
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/298155359/;Москва;sale;flat;23;43;1;37.9;15900000;2025;-1;-1;-1;Без отделки;15,4 м²;8,7 м²;+79859670981;Покровское-Стрешнево;;;Трикотажная;Скай Гарден ЖК
ID 39404589;developer;https://www.cian.ru/sale/flat/299620872/;Москва;sale;flat;31;34;1;30.0;15453000;2025;-1;Монолитный;-1;Без отделки, предчистовая;-1;-1;+74951387095;Обручевский;;;Калужская;Эвер ЖК
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/298474842/;Москва;sale;flat;32;43;1;46.6;23500000;2023;-1;-1;-1;Чистовая;17,4 м²;16,6 м²;+79855014664;Хорошево-Мневники;Шелепихинская набережная;40к1;Шелепиха;Sydney City
St Michael;developer;https://www.cian.ru/sale/flat/298001060/;Москва;sale;flat;17;21;1;35.56;18154500;2024;-1;Монолитно-кирпичный;-1;Без отделки;10,6 м²;16,9 м²;+74951370057;Хорошевский; Зорге;9;Зорге;Зорге 9
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/298049948/;Москва;sale;flat;10;25;1;35.9;19600000;2023;-1;-1;-1;-1;15,2 м²;11 м²;+79859670981;Хорошево-Мневники;Шелепихинская набережная;40к2;Шелепиха;Sydney City
ID 39404589;developer;https://www.cian.ru/sale/flat/299649001/;Москва;sale;flat;10;34;1;31.2;13091520;2026;-1;Монолитно-кирпичный;-1;Без отделки;-1;-1;+74951379105;Нагорный;;2;Нагорная;Твелв ЖК
Алексей Тюрин;realtor;https://www.cian.ru/sale/flat/299184972/;Москва;sale;flat;18;35;1;38.0;22500000;2021;-1;-1;-1;-1;-1;-1;+79855433523;Раменки;Мосфильмовская ;98к2;Аминьевская;
VESPER;developer;https://www.cian.ru/sale/flat/287317369/;Москва;sale;flat;5;21;-1;1.0;78259545;2023;-1;Монолитный;-1;Предчистовая, чистовая, чистовая с мебелью;18,8 м²;24,9 м²;+74951387366;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Дарья Егорова;realtor;https://www.cian.ru/sale/flat/299479847/;Москва;sale;flat;2;3;1;38.5;14600000;2023;-1;-1;-1;-1;-1;-1;+79660615755;Преображенское;Электрозаводская ;33С1;Преображенская площадь;Апартаменты Берег Яузы
GRAVION;developer;https://www.cian.ru/sale/flat/288750856/;Москва;sale;flat;2;9;1;53.17;58487000;2024;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;15,8 м²;32,4 м²;+74951374970;Якиманка;Ленинский проспект;2;Октябрьская;Клубный дом CULT
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/298376026/;Москва;sale;flat;15;30;1;37.5;14900000;2022;-1;-1;-1;-1;-1;-1;+79150272986;Южнопортовый;Волгоградский проспект;32/5к1;Угрешская;
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/298849163/;Москва;sale;flat;3;10;1;45.5;22900150;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;14 м²;19,5 м²;+74951375130;;;В14 кв-л;Опалиха;Сберсити ЖК
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/298873799/;Москва;sale;flat;34;58;1;43.0;24900000;-1;-1;-1;-1;-1;15 м²;20 м²;+79651661856;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
Absolute Premium;developer;https://www.cian.ru/sale/flat/294903830/;Москва;sale;flat;7;18;1;49.8;48967000;2026;-1;Монолитный;-1;Без отделки, предчистовая;11,3 м²;-1;+74951374939;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/298155823/;Москва;sale;flat;10;43;1;37.9;14800000;2025;-1;-1;-1;Без отделки;15,4 м²;8,7 м²;+79859670981;Покровское-Стрешнево;;;Трикотажная;Скай Гарден ЖК
MR Group;developer;https://www.cian.ru/sale/flat/291757373/;Москва;sale;flat;8;54;1;37.72;19018464;2025;-1;Монолитный;-1;Предчистовая, чистовая;12,8 м²;18,4 м²;+74951375113;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/292933473/;Москва;sale;flat;16;40;1;41.1;31500000;-1;-1;-1;-1;-1;23,4 м²;4,9 м²;+79646331510;Хорошевский;Ленинградский проспект;37/4;Динамо;Прайм Парк
MR Group;developer;https://www.cian.ru/sale/flat/299093496/;Москва;sale;flat;18;41;1;37.7;26166953;2024;-1;Монолитный;-1;Предчистовая;13 м²;-1;+74951375236;Даниловский;Дубининская ;59к7;Павелецкая;Павелецкая Сити
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/298156526/;Москва;sale;flat;4;43;1;38.0;14300000;2025;-1;-1;-1;Без отделки;15,4 м²;8,9 м²;+79859670981;Покровское-Стрешнево;Строительный проезд;9С6;Трикотажная;Sky Garden
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/299137613/;Москва;sale;flat;4;12;1;45.87;22384560;2024;-1;Монолитный;-1;Без отделки, чистовая;13,4 м²;15,1 м²;+74951370058;;;В19 кв-л;Опалиха;Сберсити ЖК
Комьюнити;real_estate_agent;https://www.cian.ru/sale/flat/293546579/;Москва;sale;flat;2;3;1;43.8;13140000;-1;-1;-1;-1;-1;-1;-1;+79660472731;Преображенское;Суворовская ;19С1;Преображенская площадь;
MR Group;developer;https://www.cian.ru/sale/flat/296847956/;Москва;sale;flat;2;54;1;36.06;20713585;2027;-1;Монолитный;-1;Предчистовая;-1;13,5 м²;+74951377313;Хорошево-Мневники; Мневники;;Полежаевская;JOIS
Ирина Василевская;realtor;https://www.cian.ru/sale/flat/295954563/;Москва;sale;flat;7;12;1;36.6;19490000;1965;-1;-1;-1;-1;18,5 м²;9 м²;+79660594608;Дорогомилово;Украинский бульвар;6;Киевская;
Sminex;developer;https://www.cian.ru/sale/flat/299262122/;Москва;sale;flat;8;14;1;44.6;26270000;2023;-1;Монолитный;-1;Без отделки, чистовая;13,8 м²;21,4 м²;+74951375461;Раменки;проспект Генерала Дорохова;39к2Л;Ломоносовский проспект;Собрание клубных домов West Garden
Комьюнити;real_estate_agent;https://www.cian.ru/sale/flat/299601134/;Москва;sale;flat;2;3;1;56.4;16843200;2022;-1;-1;-1;-1;-1;-1;+79636780803;Преображенское;Электрозаводская ;33С4;Преображенская площадь;Апартаменты Берег Яузы
Главстрой;developer;https://www.cian.ru/sale/flat/296921064/;Москва;sale;flat;2;16;1;44.7;20661010;2024;-1;Монолитно-кирпичный;-1;Без отделки;16,4 м²;14,6 м²;+74951379308;Филевский парк;Береговой проезд;2;Народное Ополчение;Береговой-2
Владислав Карпов;realtor;https://www.cian.ru/sale/flat/299294027/;Москва;sale;flat;5;28;1;41.0;29950000;2022;-1;-1;-1;-1;-1;17 м²;+79660540958;Раменки;Винницкая ;8к3;Раменки;Настоящее
Компания Пионер;developer;https://www.cian.ru/sale/flat/296085449/;Москва;sale;flat;6;22;-1;202.0;15969096;2025;-1;Монолитный;-1;Без отделки, чистовая;-1;-1;+74951374063;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
BRIGHT ESTATE - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/297409382/;Москва;sale;flat;10;14;1;45.0;35000000;-1;-1;-1;-1;-1;-1;12 м²;+79850593599;Раменки;проспект Генерала Дорохова;39к2;Минская;Собрание клубных домов West Garden
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/291868741/;Москва;sale;flat;3;13;1;54.02;29846050;2024;-1;Монолитно-кирпичный;-1;Чистовая;15,1 м²;19 м²;+74951387020;;;В20 кв-л;Опалиха;Сберсити ЖК
Travelto Development;real_estate_agent;https://www.cian.ru/sale/flat/294819213/;Москва;sale;flat;2;9;1;19.9;10077000;-1;-1;-1;-1;-1;-1;-1;+79672092499;Аэропорт;Большой Коптевский проезд;3С7;Красный Балтиец;
COLDY;developer;https://www.cian.ru/sale/flat/297997304/;Москва;sale;flat;2;14;-1;202.0;183834633;2025;-1;Монолитно-кирпичный;-1;Без отделки;-1;-1;+74951384953;Хамовники;переулок 1-й Тружеников;12;Киевская;Хамовники 12
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/292787122/;Москва;sale;flat;4;14;1;43.0;25750000;2021;-1;-1;-1;-1;14 м²;17 м²;+79067955770;Раменки;проспект Генерала Дорохова;39к1В;Минская;Собрание клубных домов West Garden
3SGroup;developer;https://www.cian.ru/sale/flat/299379428/;Москва;sale;flat;12;17;1;25.7;8378200;2026;-1;-1;-1;Без отделки;12,3 м²;-1;+74951374320;;;;Коммунарка;FOREVILLE
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/295519457/;Москва;sale;flat;1;12;1;39.3;11200000;1978;-1;-1;-1;-1;21 м²;7 м²;+79859670981;Отрадное; Хачатуряна;2;Владыкино;
Neva Towers;developer;https://www.cian.ru/sale/flat/298051604/;Москва;sale;flat;65;66;1;45.5;50869000;2020;-1;Монолитный;-1;Без отделки, чистовая;-1;-1;+74951387174;Пресненский;1-й Красногвардейский проезд;22с1;Выставочная;NEVA TOWERS
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298538616/;Москва;sale;flat;6;9;1;33.5;9700000;1971;-1;-1;-1;-1;-1;6 м²;+79057153325;Можайский; Кубинка;15К2;Сетунь;
Hutton Development;developer;https://www.cian.ru/sale/flat/293911173/;Москва;sale;flat;2;7;-1;202.0;101640000;2026;-1;-1;-1;Без отделки;12,8 м²;19,7 м²;+74951379715;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298574681/;Москва;sale;flat;10;16;1;32.0;7620000;2021;-1;-1;-1;-1;-1;9,1 м²;+79660515466;; Яворки;1к4;Ольховая;Кленовые Аллеи
Sminex;developer;https://www.cian.ru/sale/flat/294328835/;Москва;sale;flat;3;6;1;78.7;158480000;2025;-1;Монолитный;-1;Без отделки;15,7 м²;33,2 м²;+74951347314;Басманный;Потаповский переулок;5С4;Чистые пруды;Чистые Пруды
Группа Родина;developer;https://www.cian.ru/sale/flat/291114452/;Москва;sale;flat;3;23;1;30.8;17170800;2024;-1;Монолитно-кирпичный;-1;Без отделки;12,4 м²;-1;+74951374518;Ростокино;;к2;Ботанический сад;Союз ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/299183728/;Москва;sale;flat;5;14;1;42.4;12800000;1992;-1;-1;-1;-1;-1;10 м²;+79057121709;Северное Бутово;Старобитцевская ;23К2;Лесопарковая;
РКС Девелопмент;developer;https://www.cian.ru/sale/flat/298027335/;Москва;sale;flat;2;16;1;37.16;15655508;2025;-1;Монолитный;-1;Чистовая;-1;-1;+74951378848;Даниловский;Автозаводская ;24К1;ЗИЛ;Дом на набережной INSIDER
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/299611096/;Москва;sale;flat;4;5;1;30.7;10990000;1968;-1;-1;-1;-1;-1;8 м²;+79660512504;Котловка;Севастопольский проспект;37;Нагорная;
FORMA;developer;https://www.cian.ru/sale/flat/298003630/;Москва;sale;flat;7;33;1;58.47;35386102;2025;-1;Монолитный;-1;Без отделки, предчистовая;13,5 м²;26 м²;+74951370018;Пресненский;к2.3;к2.3;Белорусская;Репаблик ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298476313/;Москва;sale;flat;3;8;1;42.3;7000000;-1;-1;-1;-1;-1;-1;9,7 м²;+79099980650;Десеновское поселение;аллея Буковая;14;;Андерсен
Regions Development;developer;https://www.cian.ru/sale/flat/299576624/;Москва;sale;flat;3;17;1;38.2;18162034;2024;-1;Монолитно-кирпичный;-1;Без отделки;-1;-1;+74951377220;Преображенское;Жилой комплекс Преображенская площадь;;Преображенская площадь;Преображенская площадь
ЛСР;developer;https://www.cian.ru/sale/flat/293202607/;Москва;sale;flat;25;32;1;34.3;14900228;2025;-1;Монолитно-кирпичный, монолитный;-1;Без отделки, чистовая, чистовая с мебелью;19 м²;10,3 м²;+74951378813;Западное Дегунино;Северный ао;;Верхние Лихоборы;Дмитровское небо ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298901369/;Москва;sale;flat;6;9;1;28.5;7300000;1980;-1;-1;-1;-1;-1;6,6 м²;+79672091726;Щербинка; Люблинская;7;;
ЭЛИТА-ЭКО;developer;https://www.cian.ru/sale/flat/292406404/;Москва;sale;flat;5;14;1;30.45;32429250;2026;-1;Монолитный;-1;Предчистовая;-1;-1;+74951346380;Дорогомилово;1-й Можайский тупик;8АС1;Киевская;D'ORO MILLE
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298433868/;Москва;sale;flat;2;9;1;35.8;11999000;1976;-1;-1;-1;-1;-1;7,5 м²;+79660482610;Фили-Давыдково;Аминьевское шоссе;36;Давыдково;
Трансстройинвест;developer;https://www.cian.ru/sale/flat/296303052/;Москва;sale;flat;3;8;1;62.7;89465815;2026;-1;Монолитный;-1;Без отделки;-1;27,4 м²;+74951374014;Мещанский;Большой Кисельный переулок;11/2с2;Тургеневская;Frank's house
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298845429/;Москва;sale;flat;11;32;1;37.6;13100000;2022;-1;-1;-1;Чистовая;-1;10 м²;+79660064840;Очаково-Матвеевское;Большая Очаковская ;2;Аминьевская;Большая Очаковская 2
Мангазея;developer;https://www.cian.ru/sale/flat/299167967/;Москва;sale;flat;10;21;-1;1.0;25685400;2023;-1;Монолитно-кирпичный, монолитный;-1;Без отделки;15,8 м²;15,5 м²;+74951379080;Щукино;Щукинская ;3;Щукинская;Интонация
GloraX;developer;https://www.cian.ru/sale/flat/293812263/;Москва;sale;flat;4;21;1;53.11;28499999;2024;-1;Монолитный;-1;Предчистовая;15,8 м²;-1;+74951378830;Беговой; 1-я Ямского Поля;28С3;Белорусская;GloraX Premium Белорусская
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/295278504/;Москва;sale;flat;34;53;1;43.0;20500000;2022;-1;-1;-1;-1;-1;-1;+79060421216;Хорошево-Мневники; Народного Ополчения;15К1;Народное Ополчение;Wellton Towers
Основа;developer;https://www.cian.ru/sale/flat/293623772/;Москва;sale;flat;6;28;-1;43.5;17182500;2027;-1;Монолитный;-1;Без отделки, черновая;15,3 м²;11,8 м²;+74951370083;Хорошево-Мневники;2-й Силикатный проезд;;Полежаевская;Emotion
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298664477/;Москва;sale;flat;1;10;1;37.2;19900000;2022;-1;-1;-1;-1;-1;18,8 м²;+79099338553;Очаково-Матвеевское;Аминьевское шоссе;4Дк2;Аминьевская;Вестердам
TOUCH;developer;https://www.cian.ru/sale/flat/296006779/;Москва;sale;flat;5;13;1;42.36;24082000;2024;-1;Монолитный;-1;Без отделки, чистовая;14,8 м²;14,6 м²;+74951375043;Южнопортовый;;к3;Дубровка;Шампайн ЖК
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/299463231/;Москва;sale;flat;18;27;1;38.3;17500000;2023;-1;-1;-1;Без отделки;-1;17,9 м²;+79684851089;Лефортово; Крузенштерна;12к1;;Символ
ДОНСТРОЙ;developer;https://www.cian.ru/sale/flat/299350568/;Москва;sale;flat;3;50;1;39.2;18329920;2027;-1;Монолитный;-1;Без отделки, чистовая с мебелью;13,6 м²;14,7 м²;+74951387191;Раменки;м. Мичуринский проспект;;Мичуринский проспект;Событие
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/297949006/;Москва;sale;flat;3;13;1;37.0;26000000;2024;-1;-1;-1;Чистовая;-1;-1;+79660621056;Хорошево-Мневники; Нижние Мневники;35;Терехово ;Остров
Центр-Инвест;developer;https://www.cian.ru/sale/flat/298576239/;Москва;sale;flat;15;22;1;36.8;26213596;2022;-1;Монолитный;-1;Без отделки;21,9 м²;8,3 м²;+74951375446;Красносельский;Большая Спасская ;35;Площадь трёх вокзалов;Dialog
ЛюксДом;real_estate_agent;https://www.cian.ru/sale/flat/274593955/;Москва;sale;flat;3;5;1;47.2;39500000;2021;-1;-1;-1;-1;13 м²;16 м²;+79683696788;Замоскворечье;Озерковская набережная;6;Новокузнецкая;Bogenhouse
MR Group;developer;https://www.cian.ru/sale/flat/299302334/;Москва;sale;flat;7;30;1;41.5;18523741;2024;-1;Монолитно-кирпичный, монолитный;-1;Предчистовая;-1;-1;+74951387213;Южнопортовый;Волгоградский проспект;32/3к4;Угрешская;Метрополия
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297235267/;Москва;sale;flat;30;43;1;46.0;29900000;-1;-1;-1;-1;-1;23 м²;12 м²;+79854281089;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;Сердце Столицы
MR Group;developer;https://www.cian.ru/sale/flat/299302256/;Москва;sale;flat;15;29;1;43.0;18326127;2024;-1;Монолитно-кирпичный, монолитный;-1;Предчистовая;-1;-1;+74951387213;Южнопортовый;Волгоградский проспект;32/3к4;Угрешская;Метрополия
Основа;developer;https://www.cian.ru/sale/flat/299292646/;Москва;sale;flat;4;36;1;35.9;10159700;2026;-1;Монолитный;-1;Без отделки, предчистовая;14,9 м²;11,2 м²;+74951346369;Ярославский;проспект Мира;222;Ростокино;Квартал МИРАПОЛИС
Князев и Партнёры;real_estate_agent;https://www.cian.ru/sale/flat/299638046/;Москва;sale;flat;2;2;1;28.7;9990000;2023;-1;-1;-1;-1;17,4 м²;5,2 м²;+79152507419;Текстильщики;Грайвороновская ;6С1;Текстильщики;
РКС Девелопмент;developer;https://www.cian.ru/sale/flat/294819733/;Москва;sale;flat;2;10;1;36.0;15261250;2025;-1;Монолитный;-1;Чистовая;-1;-1;+74951378848;Даниловский;Автозаводская ;24К1;ЗИЛ;Дом на набережной INSIDER
Стадион Спартак;developer;https://www.cian.ru/sale/flat/289490596/;Москва;sale;flat;5;22;1;52.6;31323300;2025;-1;Монолитный;-1;Без отделки, черновая;14,7 м²;11,1 м²;+74951387190;Покровское-Стрешнево;Северо-Западный ао;;Спартак;Клубный Город на Реке Примавера ЖК
ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/297716677/;Москва;sale;flat;3;9;1;30.2;8500000;-1;-1;-1;-1;-1;17,7 м²;5,6 м²;+79645647890;Дмитровский;Лобненская ;9;Лианозово;
Стадион Спартак;developer;https://www.cian.ru/sale/flat/297341250/;Москва;sale;flat;10;22;1;54.0;34246800;2025;-1;Монолитный;-1;Без отделки, черновая;14,9 м²;11,1 м²;+74951387190;Покровское-Стрешнево;Северо-Западный ао;;Спартак;Клубный Город на Реке Примавера ЖК
Regions Development;developer;https://www.cian.ru/sale/flat/299440983/;Москва;sale;flat;17;17;1;45.31;27445954;2024;-1;-1;-1;Без отделки;20,3 м²;12,2 м²;+74951377220;Преображенское;Жилой комплекс Преображенская площадь;;Преображенская площадь;Преображенская площадь
ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/299341316/;Москва;sale;flat;4;9;1;32.6;8200000;-1;-1;-1;-1;-1;19 м²;6 м²;+79645647890;Ивановское; Молостовых;6К3;Новогиреево;
3SGroup;developer;https://www.cian.ru/sale/flat/299379257/;Москва;sale;flat;7;17;1;33.1;10320679;2026;-1;-1;-1;Без отделки;20 м²;-1;+74951374320;;;;Коммунарка;FOREVILLE
ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/297263854/;Москва;sale;flat;2;14;1;38.3;9500000;-1;-1;-1;-1;-1;-1;9 м²;+79645647890;Южное Бутово;Изюмская ;49к4;Бутово;
Компания Пионер;developer;https://www.cian.ru/sale/flat/296085444/;Москва;sale;flat;6;22;-1;202.0;18659992;2025;-1;Монолитный;-1;Без отделки, чистовая;-1;-1;+74951374063;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
ЕГСН Продажа;real_estate_agent;https://www.cian.ru/sale/flat/298463837/;Москва;sale;flat;1;12;1;34.4;12600000;-1;-1;-1;-1;-1;19,3 м²;10 м²;+79645647890;Пресненский; Трехгорный Вал;1;Улица 1905 года;
MR Group;developer;https://www.cian.ru/sale/flat/296848035/;Москва;sale;flat;46;54;1;37.02;24012579;2027;-1;Монолитный;-1;Предчистовая;-1;16,7 м²;+74951377313;Хорошево-Мневники; Мневники;;Полежаевская;JOIS
